0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,class,label
1,0.666666687,0.100456618,0.036529679,0.073059358,0.050228309,0.018264839,0.105022833,0.132420093,0.091324203,0.118721463,0.182648405,0.242009133,0.264840186,0.255707771,0.260273963,0.264840186,0.255707771,0.278538823,0.292237431,0.287671238,0.269406378,0.287671238,0.296803653,0.305936068,0.305936068,0.333333343,0.356164396,0.365296811,0.365296811,0.401826471,0.438356161,0.484018266,0.488584489,0.529680371,0.570776284,0.552511394,0.538812757,0.520547926,0.506849289,0.456620991,0.406392694,0.374429226,0.351598173,0.296803653,0.260273963,0.232876718,0.260273963,0.260273963,0.251141548,0.255707771,0.260273963,0.260273963,0.237442926,0.246575341,0.260273963,0.219178081,0.214611873,0.237442926,0.264840186,0.251141548,0.246575341,0.264840186,0.283105016,0.301369876,0.278538823,0.273972601,0.264840186,0.242009133,0.273972601,0.292237431,0.278538823,0.283105016,0.264840186,0.273972601,0.260273963,0.260273963,0.278538823,0.283105016,0.283105016,0.305936068,0.292237431,0.305936068,0.351598173,0.442922384,0.689497709,0.90867579,0.611872137,0.073059358,0,0.063926943,0.091324203,0.100456618,0.178082198,0.16438356,0.16438356,0.182648405,0.242009133,0.301369876,0.319634706,0.292237431,0.292237431,0.319634706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
0.983695626,1,0.331521749,0,0.108695649,0.163043484,0.130434781,0.190217391,0.288043469,0.222826093,0.179347828,0.271739125,0.402173907,0.423913032,0.396739125,0.418478251,0.445652187,0.440217406,0.434782594,0.434782594,0.440217406,0.440217406,0.451086968,0.461956531,0.489130437,0.478260875,0.461956531,0.505434811,0.548913062,0.559782624,0.592391312,0.652173936,0.684782624,0.668478251,0.663043499,0.722826064,0.717391312,0.679347813,0.657608688,0.630434811,0.565217376,0.505434811,0.483695656,0.467391312,0.461956531,0.434782594,0.402173907,0.402173907,0.413043469,0.413043469,0.375,0.396739125,0.423913032,0.380434781,0.391304344,0.413043469,0.413043469,0.413043469,0.402173907,0.423913032,0.413043469,0.434782594,0.429347813,0.418478251,0.434782594,0.445652187,0.413043469,0.413043469,0.434782594,0.429347813,0.413043469,0.440217406,0.418478251,0.402173907,0.396739125,0.402173907,0.434782594,0.402173907,0.407608688,0.407608688,0.396739125,0.402173907,0.407608688,0.402173907,0.418478251,0.375,0.380434781,0.407608688,0.413043469,0.396739125,0.402173907,0.407608688,0.396739125,0.396739125,0.396739125,0.429347813,0.413043469,0.418478251,0.407608688,0.413043469,0.396739125,0.396739125,0.380434781,0.440217406,0.434782594,0.407608688,0.391304344,0.407608688,0.429347813,0.440217406,0.402173907,0.423913032,0.423913032,0.391304344,0.402173907,0.385869563,0.413043469,0.418478251,0.429347813,0.429347813,0.413043469,0.402173907,0.423913032,0.445652187,0.423913032,0.402173907,0.396739125,0.418478251,0.429347813,0.440217406,0.434782594,0.440217406,0.434782594,0.413043469,0.413043469,0.445652187,0.440217406,0.434782594,0.413043469,0.418478251,0.418478251,0.429347813,0.429347813,0.445652187,0.423913032,0.429347813,0.413043469,0.418478251,0.456521749,0.434782594,0.418478251,0.423913032,0.440217406,0.456521749,0.429347813,0.434782594,0.456521749,0.440217406,0.429347813,0.440217406,0.440217406,0.451086968,0.434782594,0.445652187,0.434782594,0.429347813,0.407608688,0.445652187,0.440217406,0.451086968,0.434782594,0.429347813,0.434782594,0.429347813,0.413043469,0.440217406,0.456521749,0.483695656,0.461956531,0.483695656,0.5,0.494565219,0.510869563,0.510869563,0.505434811,0.472826093,0.434782594,1,Atrial Premature
1,0.911504447,0.21681416,0,0.101769909,0.199115038,0.17699115,0.194690272,0.252212375,0.238938048,0.21681416,0.28318584,0.384955764,0.398230076,0.393805295,0.384955764,0.402654856,0.402654856,0.398230076,0.380530983,0.398230076,0.415929198,0.420353979,0.407079637,0.420353979,0.460177004,0.469026536,0.442477882,0.5,0.548672557,0.539822996,0.575221241,0.615044236,0.610619485,0.64159292,0.659292042,0.637168169,0.601769924,0.579645991,0.513274312,0.491150439,0.486725658,0.442477882,0.411504418,0.380530983,0.376106203,0.340707958,0.349557519,0.349557519,0.371681422,0.345132738,0.340707958,0.340707958,0.340707958,0.345132738,0.331858397,0.305309743,0.296460181,0.300884962,0.314159304,0.3539823,0.371681422,0.3539823,0.371681422,0.371681422,0.371681422,0.349557519,0.340707958,0.340707958,0.349557519,0.349557519,0.345132738,0.376106203,0.389380544,0.362831861,0.3539823,0.367256641,0.349557519,0.3539823,0.35840708,0.3539823,0.345132738,0.336283177,0.336283177,0.35840708,0.402654856,0.433628321,0.517699122,0.756637156,0.986725688,0.778761089,0.150442481,0.008849557,0.123893805,0.137168139,0.115044251,0.203539819,0.24778761,0.172566369,0.163716808,0.265486717,0.331858397,0.331858397,0.340707958,0.367256641,0.35840708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
0.09049774,0.12669684,0.217194572,0.361990958,0.461538464,0.556561112,0.443438917,0.434389144,0.452488691,0.511312246,0.497737557,0.502262473,0.366515845,0.25339368,0.167420819,0.122171946,0.054298643,0.054298643,0.03167421,0.022624435,0.004524887,0.009049774,0,0.009049774,0.009049774,0.022624435,0.022624435,0.036199097,0.03167421,0.049773756,0.049773756,0.067873307,0.06334842,0.072398193,0.095022626,0.12669684,0.117647059,0.149321273,0.171945706,0.208144799,0.217194572,0.244343892,0.235294119,0.239819005,0.230769232,0.212669685,0.171945706,0.144796386,0.108597286,0.09049774,0.067873307,0.072398193,0.054298643,0.04524887,0.04524887,0.049773756,0.040723983,0.054298643,0.036199097,0.04524887,0.03167421,0.04524887,0.027149322,0.03167421,0.03167421,0.036199097,0.027149322,0.040723983,0.018099548,0.027149322,0.018099548,0.036199097,0.018099548,0.03167421,0.013574661,0.040723983,0.022624435,0.03167421,0.022624435,0.03167421,0.022624435,0.027149322,0.022624435,0.03167421,0.03167421,0.036199097,0.027149322,0.027149322,0.03167421,0.03167421,0.03167421,0.027149322,0.022624435,0.04524887,0.03167421,0.04524887,0.03167421,0.036199097,0.027149322,0.04524887,0.040723983,0.054298643,0.054298643,0.054298643,0.040723983,0.05882353,0.04524887,0.049773756,0.040723983,0.06334842,0.054298643,0.054298643,0.04524887,0.06334842,0.05882353,0.067873307,0.054298643,0.067873307,0.05882353,0.067873307,0.054298643,0.072398193,0.06334842,0.07692308,0.067873307,0.081447966,0.095022626,0.131221727,0.131221727,0.162895933,0.131221727,0.176470593,0.162895933,0.158371046,0.1402715,0.1402715,0.113122173,0.095022626,0.06334842,0.067873307,0.049773756,0.05882353,0.054298643,0.05882353,0.040723983,0.05882353,0.04524887,0.05882353,0.05882353,0.09049774,0.149321273,0.248868778,0.47963801,0.769230783,0.968325794,1,0.583710432,0.221719459,0.099547513,0.113122173,0.09049774,0.06334842,0.049773756,0.049773756,0.040723983,0.04524887,0.022624435,0.040723983,0.03167421,0.036199097,0.036199097,0.05882353,0.06334842,0.072398193,0.072398193,0.095022626,0.09049774,0.113122173,0.122171946,0.131221727,0.1402715,0.158371046,0.176470593,0.203619912,0.212669685,0,0,1,Atrial Premature
0.961111128,1,0.551851869,0.101851851,0.04074074,0.085185185,0.094444446,0.088888891,0.085185185,0.070370369,0.070370369,0.074074075,0.072222225,0.06666667,0.062962964,0.061111111,0.05185185,0.046296295,0.044444446,0.044444446,0.029629629,0.02037037,0.024074074,0.018518519,0.009259259,0.003703704,0.007407407,0.009259259,0.014814815,0.024074074,0.04074074,0.059259258,0.075925924,0.094444446,0.114814818,0.127777785,0.127777785,0.120370373,0.124074072,0.131481484,0.116666667,0.107407406,0.120370373,0.120370373,0.1037037,0.101851851,0.101851851,0.100000001,0.087037034,0.087037034,0.088888891,0.09259259,0.085185185,0.081481479,0.09259259,0.09074074,0.074074075,0.074074075,0.075925924,0.075925924,0.062962964,0.061111111,0.077777781,0.096296296,0.105555557,0.09259259,0.096296296,0.101851851,0.112962961,0.118518516,0.135185182,0.17037037,0.242592588,0.377777785,0.601851881,0.783333361,0.935185194,0.746296287,0.231481478,0.018518519,0.048148148,0.06666667,0.06666667,0.072222225,0.062962964,0.05185185,0.048148148,0.055555556,0.050000001,0.04074074,0.042592593,0.042592593,0.035185184,0.027777778,0.02037037,0.022222223,0.012962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
0.982683957,0.982683957,0.320346326,0.008658009,0.08658009,0.160173163,0.151515156,0.160173163,0.255411267,0.233766228,0.190476194,0.225108221,0.298701286,0.36796537,0.363636374,0.36796537,0.380952388,0.380952388,0.372294366,0.376623362,0.385281384,0.393939406,0.385281384,0.393939406,0.406926394,0.424242437,0.406926394,0.419913411,0.46320346,0.489177495,0.510822535,0.523809552,0.562770545,0.588744581,0.593073606,0.601731598,0.640692651,0.645021617,0.593073606,0.567099571,0.541125536,0.506493509,0.458874464,0.419913411,0.415584415,0.38961038,0.36796537,0.354978353,0.354978353,0.36796537,0.346320361,0.333333343,0.354978353,0.350649357,0.333333343,0.346320361,0.354978353,0.341991335,0.31601733,0.311688304,0.329004318,0.354978353,0.354978353,0.341991335,0.376623362,0.393939406,0.359307349,0.359307349,0.372294366,0.350649357,0.320346326,0.333333343,0.376623362,0.363636374,0.341991335,0.346320361,0.354978353,0.346320361,0.333333343,0.337662339,0.359307349,0.359307349,0.333333343,0.346320361,0.359307349,0.380952388,0.376623362,0.445887446,0.692640722,1,0.930735946,0.272727281,0,0.069264069,0.142857149,0.129870132,0.17316018,0.264069259,0.212121218,0.17316018,0.233766228,0.29437229,0.337662339,0.363636374,0.36796537,0.372294366,0.341991335,0.350649357,0.372294366,0.363636374,0.354978353,0.372294366,0.393939406,0.393939406,0.385281384,0.406926394,0.44155845,0.46320346,0.471861482,0.493506491,0.554112554,0.580086589,0.580086589,0.601731598,0.632034659,0.632034659,0.606060624,0.580086589,0.567099571,0.519480526,0.467532456,0.415584415,0.415584415,0.402597398,0.363636374,0.346320361,0.350649357,0.341991335,0.329004318,0.320346326,0.341991335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
0.627240121,0.032258064,0,0.089605734,0.07526882,0.071684591,0.093189962,0.093189962,0.125448033,0.118279569,0.136200711,0.143369183,0.157706097,0.154121861,0.164874554,0.146953404,0.18996416,0.182795703,0.200716853,0.193548381,0.211469531,0.200716853,0.215053767,0.218637988,0.218637988,0.197132617,0.197132617,0.175627246,0.168458775,0.143369183,0.161290318,0.146953404,0.168458775,0.15053764,0.179211468,0.168458775,0.182795703,0.179211468,0.193548381,0.186379924,0.20788531,0.18996416,0.204301074,0.193548381,0.20788531,0.18996416,0.232974917,0.222222224,0.240143374,0.232974917,0.240143374,0.240143374,0.250896066,0.229390681,0.247311831,0.232974917,0.26523298,0.243727595,0.261648744,0.240143374,0.258064508,0.254480273,0.275985658,0.243727595,0.258064508,0.268817216,0.268817216,0.26523298,0.26523298,0.247311831,0.272401422,0.254480273,0.293906808,0.258064508,0.293906808,0.26523298,0.279569894,0.268817216,0.268817216,0.261648744,0.275985658,0.243727595,0.254480273,0.258064508,0.290322572,0.268817216,0.28315413,0.232974917,0.258064508,0.272401422,0.26523298,0.261648744,0.272401422,0.26523298,0.290322572,0.254480273,0.286738366,0.243727595,0.279569894,0.26523298,0.279569894,0.279569894,0.275985658,0.26523298,0.279569894,0.272401422,0.329749107,0.333333343,0.369175613,0.379928321,0.347670257,0.275985658,0.448028684,0.985663056,1,0.340501785,0.340501785,0.28315413,0.28315413,0.26523298,0.290322572,0.28315413,0.304659486,0.293906808,0.293906808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
1,0.772973001,0.07027027,0,0.148648649,0.183783785,0.248648643,0.235135138,0.232432425,0.251351357,0.259459466,0.243243247,0.275675684,0.259459466,0.286486477,0.28108108,0.291891903,0.310810804,0.300000012,0.335135132,0.332432419,0.351351351,0.362162173,0.370270282,0.405405402,0.391891897,0.405405402,0.378378391,0.378378391,0.356756747,0.345945954,0.305405408,0.305405408,0.297297299,0.310810804,0.305405408,0.332432419,0.32432431,0.340540528,0.327027023,0.321621627,0.28918919,0.31621623,0.302702695,0.305405408,0.308108121,0.318918914,0.310810804,0.321621627,0.313513517,0.321621627,0.340540528,0.362162173,0.318918914,0.327027023,0.332432419,0.335135132,0.329729736,0.31621623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
0,0.089855075,0.289855063,0.356521726,0.469565213,0.556521714,0.614492774,0.675362349,0.715942025,0.721739113,0.747826099,0.747826099,0.771014512,0.785507262,0.814492762,0.8347826,0.863768101,0.872463763,0.927536249,0.956521749,0.997101426,0.991304338,1,0.979710162,0.98550725,0.953623176,0.956521749,0.927536249,0.927536249,0.910144925,0.895652175,0.860869586,0.860869586,0.837681174,0.8347826,0.811594188,0.811594188,0.788405776,0.779710174,0.768115938,0.773913026,0.759420276,0.765217364,0.750724614,0.756521761,0.730434775,0.739130437,0.730434775,0.733333349,0.730434775,0.736231863,0.727536261,0.730434775,0.718840599,0.707246363,0.660869539,0.652173936,0.585507274,0.466666669,0.266666681,0.014492754,0.086956523,0.246376812,0.350724638,0.466666669,0.550724626,0.663768113,0.710144937,0.76231885,0.782608688,0.8057971,0.8057971,0.837681174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
1,0.88450706,0.39718309,0.101408452,0.101408452,0.121126764,0.061971832,0.061971832,0.045070421,0.04225352,0.056338027,0.04225352,0.025352113,0.056338027,0.045070421,0.030985916,0.036619719,0.04225352,0.03943662,0.045070421,0.033802819,0.030985916,0.04225352,0.033802819,0.025352113,0.030985916,0.047887325,0.028169014,0.011267605,0.01971831,0.033802819,0.030985916,0.053521127,0.08169014,0.090140842,0.087323941,0.084507041,0.087323941,0.08169014,0.073239438,0.076056339,0.076056339,0.08169014,0.076056339,0.070422538,0.073239438,0.08169014,0.073239438,0.070422538,0.08169014,0.090140842,0.076056339,0.076056339,0.076056339,0.08169014,0.073239438,0.073239438,0.084507041,0.073239438,0.073239438,0.056338027,0.064788729,0.08169014,0.073239438,0.050704226,0.067605637,0.067605637,0.050704226,0.036619719,0.033802819,0.005633803,0.008450705,0.005633803,0.036619719,0.050704226,0.064788729,0.03943662,0.045070421,0.140845075,0.394366205,0.746478856,0.991549313,0.69859153,0.208450705,0.04225352,0.08169014,0.059154928,0.01971831,0.014084507,0.011267605,0.025352113,0.01971831,0.014084507,0.011267605,0.025352113,0.005633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Atrial Premature
